Emp_ID,Name,Age,Salary (INR),Experience (Years),City,Department,Performance Rating
1,Employee_1,55,100910,21,Delhi,HR,inf
2,Employee_2,31,-142633,5,Pune,HR,5
3,Employee_3,23,84957,11,Mumbai,Sales,4
4,Employee_4,38,107450,NaN,Chennai,Finance,5
5,Employee_5,49,inf,24,Pune,Sales,5
6,Employee_6,58,176828,18,Delhi,Finance,3
7,Employee_7,22,146319,10,Pune,HR,2
8,Employee_8,48,109999,13,Pune,R&D,
9,Employee_9,22,NaN,8,Mumbai,Operations,inf
10,Employee_10,41,48931,18,Hyderabad,Sales,5
11,Employee_11,35,48931,10,Hyderabad,HR,3
12,Employee_12,38,-133415,2,Delhi,Finance,1
13,Employee_13,25,177758,5,Hyderabad,Marketing,inf
14,Employee_14,24,95578,5,Kolkata,IT,5
15,Employee_15,41,178414,22,Mumbai,IT,4
16,Employee_16,36,25145,23,Pune,Marketing,inf
17,Employee_17,22,70665,21,Kolkata,IT,5
18,Employee_18,53,inf,5,Pune,Finance,2
19,Employee_19,22,158798,2,Hyderabad,R&D,1
20,Employee_20,43,170585,8,Kolkata,Operations,5
21,Employee_21,24,NaN,23,Chennai,IT,2
22,Employee_22,26,158798,20,Mumbai,HR,2
23,Employee_23,56,84957,24,Pune,Operations,4
24,Employee_24,30,71973,7,Bangalore,HR,inf
25,Employee_25,38,104063,8,Hyderabad,R&D,1
26,Employee_26,46,inf,21,Mumbai,Sales,1
27,Employee_27,45,46478,20,Delhi,R&D,
28,Employee_28,29,NaN,14,Hyderabad,Finance,1
29,Employee_29,55,95578,21,Bangalore,HR,2
30,Employee_30,44,146319,16,Hyderabad,Sales,2
31,Employee_31,24,178462,22,Kolkata,R&D,5
32,Employee_32,45,26910,3,Hyderabad,Finance,2
33,Employee_33,46,26108,2,Bangalore,Marketing,inf
34,Employee_34,46,176328,16,Mumbai,HR,2
35,Employee_35,32,39635,22,Delhi,Finance,3
36,Employee_36,57,142633,22,Delhi,R&D,4
37,Employee_37,32,63051,21,Pune,Operations,5
38,Employee_38,46,99565,17,Kolkata,Finance,NaN
39,Employee_39,35,103006,7,Pune,Sales,1
40,Employee_40,36,158798,2,Delhi,Operations,3
41,Employee_41,51,59435,11,Chennai,Operations,5
42,Employee_42,57,177758,2,Delhi,IT,inf
43,Employee_43,50,103006,8,Chennai,Operations,3
44,Employee_44,48,51626,4,Kolkata,Finance,
45,Employee_45,38,45256,NaN,Delhi,HR,3
46,Employee_46,34,100910,21,Delhi,IT,1
47,Employee_47,53,29720,21,Pune,Sales,5
48,Employee_48,41,96272,16,Mumbai,Finance,1
49,Employee_49,29,51626,20,Hyderabad,Finance,4
50,Employee_50,40,70665,24,Pune,Sales,5
51,Employee_51,56,26910,5,Bangalore,IT,3
52,Employee_52,58,45256,7,Kolkata,Operations,2
53,Employee_53,57,151694,5,Hyderabad,Sales,4
54,Employee_54,57,99565,NaN,Kolkata,HR,2
55,Employee_55,56,142633,18,Delhi,Marketing,3
56,Employee_56,57,178462,4,Bangalore,HR,NaN
57,Employee_57,31,48931,9,Mumbai,Sales,4
58,Employee_58,54,149197,23,Pune,Marketing,1
59,Employee_59,48,149197,3,Bangalore,Marketing,2
60,Employee_60,56,168245,18,Mumbai,Sales,4
